order_id,customer_id,order_date,order_amount,order_status,payment_date,payment_amount,payment_method,payment_status
d27d8139-a252-4402-9fd0-23a85592285e,2824,2023-05-28,22.26,pending,2020-03-16,382.46,bank transfer,failed
d27d8139-a252-4402-9fd0-23a85592285e,2824,2023-05-28,22.26,pending,2023-11-08,5.23,credit card,pending
d27d8139-a252-4402-9fd0-23a85592285e,2824,2023-05-28,22.26,pending,2024-11-28,430.17,bank transfer,failed
31d3bfde-52dd-4d35-bca6-ee6bddf1eb60,5012,2022-05-23,119.37,delivered,2020-07-02,99.08,paypal,failed
31d3bfde-52dd-4d35-bca6-ee6bddf1eb60,5012,2022-05-23,119.37,delivered,2022-02-06,351.2,credit card,completed
31d3bfde-52dd-4d35-bca6-ee6bddf1eb60,5012,2022-05-23,119.37,delivered,2024-07-28,164.84,paypal,failed
c381a67d-68e6-4d40-912d-77cdc343036f,2679,2023-11-19,341.58,delivered,2021-01-12,258.33,paypal,failed
c381a67d-68e6-4d40-912d-77cdc343036f,2679,2023-11-19,341.58,delivered,2022-04-07,71.36,paypal,pending
e967e883-7683-46de-9d68-5b0309644c68,2424,2021-11-21,299.34,shipped,,,,
2533e6a8-1b87-40f4-bf91-ca194cfeb54a,1488,2021-03-21,55.91,shipped,2021-07-28,219.97,credit card,pending
9f3f68c9-bc8d-4b62-aba5-9d16738d2940,9279,2023-12-23,304.99,delivered,,,,
7ab390cc-351e-4282-b4e0-e64ef4c31bab,4257,2025-03-02,360.85,delivered,,,,
b860a5a4-7fb6-4752-9f97-b205bc9d5a5a,9928,2021-05-27,215.56,pending,2022-04-22,295.34,paypal,failed
b860a5a4-7fb6-4752-9f97-b205bc9d5a5a,9928,2021-05-27,215.56,pending,2022-05-22,28.94,bank transfer,pending
c4aa53ec-938a-4046-92cb-3da3ace75401,5557,2023-03-10,406.62,shipped,,,,
a478c966-8595-47ca-9e40-c97999444ac6,3615,2022-07-12,352.09,pending,2022-03-01,444.7,credit card,failed
062b8920-588e-423f-a207-b8baa85722aa,5552,2022-12-12,86.18,pending,,,,
c5c2b825-8f6c-413b-8629-d6016c9cfaf0,2674,2023-01-25,55.45,shipped,2022-07-29,374.41,paypal,completed
